GalaxyID_test,Mass_Host,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
8707373,21337970688.0,28000000000941,8708413,17445073,430.9336191777283,3376.2733794498913,46.09309734893164,345.907046487271,0.49001850573729683,2.3643041690169557,1,1,1
8708413,10456000512.0,28000000000941,8707373,17445073,430.9336191777283,3314.8133594154565,46.09309734893164,268.74295216984916,2.040739254317282,4.824928326858903,1,1,1
18369501,33969287168.0,28000000000991,9769665,8924821,5154.27485673124,8081.153068607701,551.2325015323644,733.5521451064747,0.774193886787657,0.7979692119514069,0,0,0
8734901,23459901440.0,28000000000993,8736071,14132544,549.9761904427463,7422.52524913437,48.50203044634175,324.330070348062,0.5100545349946705,7.20353940583307,1,1,1
8736071,11965829120.0,28000000000993,8734901,13741790,549.9761904427463,7899.863643529784,48.50203044634175,992.6944008169489,1.960574666805872,1.7599562872580952,1,1,1
8803865,27282960384.0,28000000001066,17718284,16865319,3115.261287614066,5965.7732491639745,248.97807378501707,323.2907119480402,1.849448999148611,2.242073005679881,0,0,0
14096270,17632507904.0,28000000001134,8722917,8721699,4730.506969469112,4750.0688586306915,589.5848944312952,785.0706941152833,0.7832331334368532,1.0290422704919833,0,0,0
8933477,24986570752.0,28000000001170,17557355,17316115,1409.717988397782,2231.6440357892384,116.87305165206665,167.8330855913639,1.4028977890531138,1.0223537216668794,0,1,4
8960069,40017285120.0,28000000001188,11106874,10217122,3522.5413840652827,3978.1223879593977,290.1706900284414,292.86333774066145,0.3506192524036973,0.37476226593154754,0,0,0
9008303,28944693248.0,28000000001215,18045681,12197269,4263.909656138076,5070.987369095251,389.2061035170519,530.2316194369979,0.6501923739440695,0.4278138682591023,0,0,0
9044112,22250332160.0,28000000001238,11162917,10470273,2624.7834831068367,3210.657868595804,313.95176212930727,375.449867107895,0.5514149857976772,0.6948272434239472,0,0,1
8876819,24253978624.0,28000000001124,17438870,10342135,1759.6808579616277,2240.3452360233673,183.11405442106854,303.0580261911096,1.3308061640683007,0.5132146949153673,0,1,2
14093861,29098235904.0,28000000001133,9384896,9062528,2501.0604413473166,2824.6864455286104,181.60561342018497,267.4872673280242,0.45849374333259924,0.4785443158114552,0,0,4
8935446,32109666304.0,28000000001171,8716719,8715078,1379.1347229502433,1524.8413229133723,142.0204646843669,162.53243483378773,0.5617175136371046,0.8335726624684888,0,2,7
9095345,25462474752.0,28000000001271,8628413,8629848,2531.80724896867,2981.4117498810338,214.79540030796807,254.42298532204143,0.7383927851130501,0.7878372849215816,0,0,2
9153721,25940736000.0,28000000001310,13678885,20629167,1842.3650009369076,1979.3427893426408,152.0189334934122,59.62682372123663,1.598237696262743,6.798080745280319,0,2,6
9161415,29957330944.0,28000000001315,17124510,10403334,773.0847676064761,2653.5063071561544,49.34854332173237,149.55150343776586,0.9610162375886193,0.5580930792283603,1,1,2
9228472,31414923264.0,28000000001360,16618996,15964286,1451.9862991096688,4023.80047604613,88.60943326775654,379.02406191235224,1.5759660240435722,0.9552021152439762,0,1,1
9278205,18819282944.0,28000000001394,17045098,9922347,3248.8839854412013,4116.254066411949,256.5274344919012,368.19780596974806,2.698020252901725,0.6863879423269061,0,0,0
9308021,19067895808.0,28000000001414,9775886,8597428,1350.4028505889196,3123.5232155930025,146.39053711929242,310.5388586846307,0.7209296368313782,1.294287329053146,0,1,1
9320722,25594251264.0,28000000001423,8795478,9549225,2126.678702237431,3501.627364889468,206.4320369674546,429.01533895636805,1.0995674788730558,1.638190752115295,0,0,1
9420821,17728518144.0,28000000001496,18297371,9040799,3224.6173786511854,4888.135570681508,370.1907068307044,491.78971272165825,1.6576504392131557,1.787752051838947,0,0,0
9631594,10882000896.0,28000000001530,10839220,10803440,1636.951493587193,1656.2544386818358,183.94301371935376,163.56335735641838,1.2169967988945845,0.952207942181739,0,2,6
9633337,10011164672.0,28000000001532,10123230,9325839,4161.461614526831,4264.1064728352785,379.01320432359483,394.57956596542533,1.2834216809894066,1.7245676583752432,0,0,0
9642758,23832461312.0,28000000001539,15921053,18123020,3638.1852646675516,5149.345574708233,270.7623144337705,542.2204645012507,4.255819397257562,2.2248994237662396,0,0,0
9728535,32002433024.0,28000000001605,17873830,17128461,1497.1179619614913,2007.9853603066113,71.71326552512016,141.10490869431476,0.9247334026699282,2.2260126398069704,0,1,3
9756946,16380613632.0,28000000001628,17154751,10951930,919.8613082666899,1687.2631733216922,63.19455879502888,139.09354153182036,5.377291418920148,0.899709771263348,1,3,3
9792407,14347885568.0,28000000001657,9834051,8986032,2469.5511895804843,4388.2522586871055,253.3350637877045,409.77166760388735,0.963102733326734,1.4061611919318033,0,0,1
9798319,16718698496.0,28000000001662,17810947,13239980,885.1947542089075,3565.5568817492776,43.60577542040639,183.8214335854227,2.8645890996514085,1.8412781788824717,1,1,1
9867435,10795069440.0,28000000001720,16718086,8537898,4356.247396947549,4618.215772983244,493.6233909087797,570.1709965260173,3.775940186263406,3.103252874675348,0,0,0
9906769,16461457408.0,28000000001754,15233502,15239965,3557.2705896278667,4397.124853962154,260.89405460584453,451.0473417078956,5.501714457189331,0.936309168865542,0,0,0
9628491,27596972032.0,28000000001528,8855096,16715858,1362.795123063252,2299.5655635602393,134.20904781690098,221.6987139578227,1.0122768065861407,1.2580628068812039,0,1,3
9648216,21144469504.0,28000000001543,8838970,8839920,3182.1823969271395,3217.0379246638963,407.1799006139038,403.5875878555506,0.8888209810345309,0.5535900321256885,0,0,0
9735077,24068923392.0,28000000001610,15569344,10042583,2411.620721941301,3139.694651893523,168.52497027877146,415.40433721212787,4.994254111754497,0.4955071319876342,0,0,1
9752526,19867930624.0,28000000001624,13297840,20294914,2251.6606054606677,2327.185357407928,179.86763452094695,101.75728912391756,2.583437943053691,5.405042583663896,0,0,5
9794572,16075667456.0,28000000001659,17640299,9910249,3658.2143058977686,5723.785662031416,326.04341062678867,393.53098436476694,2.7415235748454636,0.8705406253459639,0,0,0
9900981,16273476608.0,28000000001750,10916681,17884044,4364.89776883098,5171.01865342685,454.1059033964044,334.98121242192576,0.6933614739983163,2.8195194495467457,0,0,0
9918196,10512012288.0,28000000001764,8391630,15819288,4992.1851201292075,5290.064511817569,474.1249665182543,447.48540593546664,2.456367393470079,4.166684249598929,0,0,0
10061897,19824973824.0,28000000001894,17283835,2599935,1857.5408443955998,1913.6662897111732,131.50413783059025,246.0080250033809,3.554614937785655,0.5461358966785993,0,2,2
8283637,38020059136.0,28000000000206,14837488,8826312,529.6559375766054,1700.121385127951,35.977396210693676,182.04920222866,2.523851944805139,0.3353815097022368,1,3,3
15110221,150070493184.0,28000000000224,8307240,9365338,366.854138798892,4289.5241780398865,21.86475279934815,238.21805782335775,0.1230423766340276,0.15616983799250098,1,1,1
8307240,18465030144.0,28000000000224,15110221,10044249,366.854138798892,3751.7813929011386,21.86475279934815,329.0998564479548,8.127281245341681,0.7879905875338061,1,1,1
15522088,88319156224.0,28000000000282,2304936,15984133,60.81858789076521,4647.927543618167,4.097580060631522,205.09033828810172,0.21705865340672936,0.46122847596828054,1,1,1
2304936,19170437120.0,28000000000282,15522088,15984133,60.81858789076521,4627.013614879352,4.097580060631522,348.5320436501802,4.607049681295948,2.1249025032142823,1,1,1
15835145,138912219136.0,28000000000316,9467751,16454619,1852.7103637511689,2787.099039580883,102.7339852192962,120.78639981330252,0.12187815097406637,0.8689921919238585,0,1,3
16024914,42057789440.0,28000000000350,8425844,16027781,660.5213487277705,891.0571971972416,49.94961519405069,77.0480042089045,0.7840575320546377,0.4249394357137188,2,2,2
16027781,17872013312.0,28000000000350,16024914,8425844,891.0571971972416,1383.0910144121833,77.0480042089045,193.07320541871565,2.353276528266722,1.8451041869949119,1,2,2
8425844,32975726592.0,28000000000350,16024914,16027781,660.5213487277705,1383.0910144121833,49.94961519405069,193.07320541871565,1.2754166105381082,0.5419748147819675,1,2,2
16120199,46540517376.0,28000000000368,8446770,8445563,188.67368346783013,952.6276048171029,15.130813784562259,81.81032927604002,0.3992551417914001,0.4020650158403602,2,3,6
10854354,10096689152.0,28000000002563,13848161,14618435,2330.028693975178,2572.263101048819,191.4290384553431,162.6451764547228,4.561601322833317,8.915662885211107,0,0,3
10939323,10590944256.0,28000000002678,10219261,10097721,6524.804151399106,7590.196920073922,829.71073621416,1128.5709308465935,1.2451800150424661,1.136239899778772,0,0,0
12557261,14229600256.0,28000000005277,11450389,11453997,1005.9263394808839,1922.206862768012,83.19610218919522,180.73645396450198,1.8192112114382646,1.4340003744937246,0,2,5
4209797,15773472768.0,28000100002749,2979098,9194556,1090.6654748706865,1195.9937594581254,124.65672845913714,180.06570091268543,0.7230069212872527,1.2234130553132991,0,2,3
14653069,136476327936.0,28000000000184,10098636,15239965,12521.233770934303,13641.721780266807,759.746626770795,938.294858464195,0.10314125853826489,0.11293543530294768,0,0,0
15063054,122579730432.0,28000000000218,2047698,8297951,32.51773790621196,114.81093365389445,3.0178647446440983,7.593051889374218,0.2904173638703536,0.33047855740286963,2,3,6
2047698,35599282176.0,28000000000218,15063054,8297951,32.51773790621196,106.23493397839239,3.0178647446440983,12.771814323728297,3.4433202845488746,1.1379435203137507,2,3,6
